 Substation Name, Nominal Voltage (kV), Redacted Data, Residential Customer Count, Commercial Customer Count, Industrial Customer Count, Agricultural Customer Count, Other Customers, Existing Distributed Generation (kW), Queued Distributed Generation (kW), Total Distributed Generation (kW),OBJECTID,feederid,feeder_name,division,last_update_on_map
HIGHWAY,12kV,No,3837,126,29,0,1,3880,340,4220,188,042651104,HIGHWAY 1104,North Bay,6/2/2025 1:21:05 AM
CHARCA,12kV,Yes,6,9,2,90,0,900,12890,13790,189,254501103,CHARCA 1103,Kern,6/2/2025 1:21:05 AM
MANTECA,17kV,No,4563,130,37,2,16,10300,490,10790,190,162611701,MANTECA 1701,Stockton,6/2/2025 1:21:05 AM
WISE,12kV,Yes,807,144,22,1,9,3060,210,3270,191,152271101,WISE 1101,Sierra,6/2/2025 1:21:05 AM
CALIFORNIA AVE,12kV,No,2480,89,34,2,8,4130,650,4780,192,252281106,CALIFORNIA AVE 1106,Fresno,6/2/2025 1:21:05 AM
SAN JOSE A,12kV,Yes,0,7,13,0,3,390,0,390,193,082251113,SAN JOSE A 1113,San Jose,6/2/2025 1:21:05 AM
SAN JOSE B,12kV,No,866,453,187,0,22,1400,320,1720,194,082261108,SAN JOSE B 1108,San Jose,6/2/2025 1:21:05 AM
SEMITROPIC,12kV,Yes,15,4,1,64,0,850,10730,11580,195,252901112,SEMITROPIC 1112,Kern,6/2/2025 1:21:05 AM
SONOMA,12kV,No,2733,379,79,1,4,2490,660,3150,196,042721106,SONOMA 1106,Sonoma,6/2/2025 1:21:05 AM
TEMPLETON,21kV,No,3440,288,70,19,11,9630,1060,10690,197,183052111,TEMPLETON 2111,Los Padres,6/2/2025 1:21:05 AM
KIRKER,21kV,No,2215,247,144,0,31,5030,700,5730,198,014452108,KIRKER 2108,Diablo,6/2/2025 1:21:05 AM
OILFIELDS,21kV,No,2591,369,83,146,7,7370,1340,8710,199,183052110,TEMPLETON 2110,Los Padres,6/2/2025 1:21:05 AM
FIGARDEN,21kV,No,1936,609,325,0,10,4620,1010,5630,200,254552111,FIGARDEN 2111,Fresno,6/2/2025 1:21:05 AM
WEBER,12kV,No,198,102,62,13,7,6150,5050,11200,201,163481110,WEBER 1110,Stockton,6/2/2025 1:21:05 AM
COARSEGOLD,21kV,No,1498,92,17,1,2,2610,460,3070,202,254432102,COARSEGOLD 2102,Yosemite,6/2/2025 1:21:05 AM
FIGARDEN,21kV,No,2802,155,46,0,5,7290,1130,8420,203,254552105,FIGARDEN 2105,Fresno,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,17,152,83,0,1,240,0,240,204,022801124,LARKIN (Y) 1124,San Francisco,6/2/2025 1:21:05 AM
VACA DIXON,12kV,Yes,865,76,23,12,3,8600,900,9500,205,063591105,VACA DIXON 1105,North Bay,6/2/2025 1:21:05 AM
WEST FRESNO,12kV,Yes,634,97,52,1,17,1040,40,1080,206,253731107,WEST FRESNO 1107,Fresno,6/2/2025 1:21:05 AM
ORO LOMA,12kV,Yes,41,44,10,150,6,2020,800,2820,207,255371117,ORO LOMA 1117,Yosemite,6/2/2025 1:21:05 AM
PLYMOUTH,4.16kV,No,1939,62,2,0,5,600,110,710,208,022680401,PLYMOUTH 0401,San Francisco,6/2/2025 1:21:05 AM
LAS GALLINAS A,12kV,Yes,2061,114,23,2,8,4600,380,4980,209,042991105,LAS GALLINAS A 1105,Sonoma,6/2/2025 1:21:05 AM
SALINAS,12kV,No,3369,521,161,17,28,1800,990,2790,210,182011106,SALINAS 1106,Central Coast,6/2/2025 1:21:05 AM
HARDING,4.16kV,No,774,86,11,0,3,320,100,420,211,163310406,HARDING 0406,Stockton,6/2/2025 1:21:05 AM
WEEDPATCH,12kV,No,1973,131,33,16,3,3150,2350,5500,212,252971103,WEEDPATCH 1103,Kern,6/2/2025 1:21:05 AM
STELLING,12kV,No,2360,351,148,0,7,2360,290,2650,213,083481107,STELLING 1107,De Anza,6/2/2025 1:21:05 AM
WYANDOTTE,12kV,Yes,1637,262,67,5,7,2890,6820,9710,214,102911103,WYANDOTTE 1103,North Valley,6/2/2025 1:21:05 AM
ORICK,12kV,Yes,57,21,1,0,1,20,0,20,215,192261101,ORICK 1101,Humboldt,6/2/2025 1:21:05 AM
FAIRWAY,12kV,Yes,545,207,177,38,8,3820,1140,4960,216,182061107,FAIRWAY 1107,Los Padres,10/1/2025 11:34:21 AM
CHICO C,4.16kV,No,378,45,2,0,2,410,20,430,217,102650401,CHICO C 0401,North Valley,6/2/2025 1:21:05 AM
BERKELEY F,4.16kV,No,876,11,1,0,0,800,490,1290,218,012060410,BERKELEY F 0410,East Bay,6/2/2025 1:21:05 AM
RICHMOND R,12kV,Yes,125,26,19,0,2,9860,0,9860,219,013471120,RICHMOND R 1120,East Bay,6/2/2025 1:21:05 AM
GATES,12kV,Yes,15,15,7,44,31,1480,1750,3230,220,253931111,GATES 1111,Fresno,6/2/2025 1:21:05 AM
CAMP EVERS,21kV,No,2162,216,47,0,9,2600,170,2770,221,083622107,CAMP EVERS 2107,Central Coast,6/2/2025 1:21:05 AM
HUNTERS POINT (P),12kV,Yes,3041,276,60,0,16,480,50,530,222,022331107,HUNTERS POINT (P) 1107,San Francisco,6/2/2025 1:21:05 AM
PEABODY,21kV,No,3556,127,55,0,9,8100,1580,9680,223,063642108,PEABODY 2108,North Bay,6/2/2025 1:21:05 AM
SNEATH LANE,12kV,Yes,1748,34,15,0,9,4020,80,4100,224,022721101,SNEATH LANE 1101,Peninsula,6/2/2025 1:21:05 AM
MT EDEN,12kV,No,1375,246,150,0,13,1010,480,1490,225,013761102,MT EDEN 1102,Mission,6/2/2025 1:21:05 AM
STOCKTON ACRES,4.16kV,No,475,12,4,0,2,380,60,440,226,163220402,STOCKTON ACRES 0402,Stockton,6/2/2025 1:21:05 AM
BAHIA,12kV,No,2877,426,64,0,17,2200,60,2260,227,043251105,BAHIA 1105,North Bay,6/2/2025 1:21:05 AM
ALTO,12kV,No,3787,204,23,2,4,5050,650,5700,228,042031125,ALTO 1125,Sonoma,6/2/2025 1:21:05 AM
SHAFTER,12kV,Yes,148,32,17,118,0,3250,1900,5150,229,253651102,SHAFTER 1102,Kern,6/2/2025 1:21:05 AM
SF G,4.16kV,No,1305,93,26,0,4,200,20,220,230,022090405,SF G 0405,San Francisco,6/2/2025 1:21:05 AM
SF H,4.16kV,No,1438,77,9,0,2,400,20,420,231,022100402,SF H 0402,Peninsula,6/2/2025 1:21:05 AM
NEWARK 21KV,20.78kV,Yes,1,14,16,0,1,1740,1000,2740,232,012232110,NEWARK 21KV 2110,Mission,10/1/2025 11:34:23 AM
DALY CITY,12kV,No,4793,265,53,0,63,840,1900,2740,233,022641106,DALY CITY 1106,Peninsula,6/2/2025 1:21:05 AM
CLARKSVILLE,21kV,No,2939,91,12,2,3,12320,990,13310,234,153612109,CLARKSVILLE 2109,Sierra,6/2/2025 1:21:05 AM
EMBARCADERO (Z),34.5kV,No,66,6,41,0,1,800,0,800,235,022873401,EMBARCADERO (Z) 3401,San Francisco,6/2/2025 1:21:05 AM
PETALUMA A,4.16kV,No,447,122,24,0,1,210,10,220,236,042120413,PETALUMA A 0413,Sonoma,6/2/2025 1:21:05 AM
SF L,4.16kV,Yes,16,4,2,0,1,0,0,0,237,022260407,SF L 0407,San Francisco,6/2/2025 1:21:05 AM
ASHLAN AVE,21kV,No,1024,166,53,0,4,3220,120,3340,238,252052110,ASHLAN AVE 2110,Fresno,6/2/2025 1:21:05 AM
PARADISE,12kV,No,398,45,11,0,3,660,120,780,239,102831106,PARADISE 1106,North Valley,6/2/2025 1:21:05 AM
INDUSTRIAL ACRES,4.16kV,No,575,60,9,0,4,200,0,200,240,182300413,INDUSTRIAL ACRES 0413,Central Coast,6/2/2025 1:21:05 AM
MOUNTAIN VIEW,12kV,No,2861,294,115,0,18,780,10,790,241,082031113,MOUNTAIN VIEW 1113,De Anza,6/2/2025 1:21:05 AM
SALINAS,12kV,No,5754,385,167,1,26,2670,550,3220,242,182011103,SALINAS 1103,Central Coast,6/2/2025 1:21:05 AM
WESTPARK,12kV,No,2545,268,66,0,17,2470,1480,3950,243,253701110,WESTPARK 1110,Kern,6/2/2025 1:21:05 AM
GOLDTREE,12kV,No,3616,361,123,4,20,2830,310,3140,244,182581108,GOLDTREE 1108,Los Padres,6/2/2025 1:21:05 AM
CASSERLY,4.16kV,Yes,207,7,1,1,0,200,10,210,245,083110401,CASSERLY 0401,Central Coast,6/2/2025 1:21:05 AM
CALFLAX,12kV,Yes,8,7,0,50,13,2040,130,2170,246,253441107,CALFLAX 1107,Fresno,6/2/2025 1:21:05 AM
COLONY,12kV,No,511,45,12,182,1,2720,4390,7110,247,162231102,COLONY 1102,Stockton,6/2/2025 1:21:05 AM
HORSESHOE,12kV,No,1152,286,126,0,3,5580,160,5740,248,152571103,HORSESHOE 1103,Sierra,6/2/2025 1:21:05 AM
CLAYTON,20.78kV,No,3006,136,78,0,13,3350,800,4150,249,012022213,CLAYTON 2213,Diablo,10/1/2025 11:34:21 AM
PEABODY,21kV,No,6197,212,40,97,13,19490,8760,28250,250,063642105,PEABODY 2105,North Bay,6/2/2025 1:21:05 AM
ATWATER,12kV,No,2179,285,60,57,14,6340,970,7310,251,253611107,ATWATER 1107,Yosemite,6/2/2025 1:21:05 AM
,12kV,Yes,1073,103,19,48,7,1270,210,1480,252,192251101,RIO DELL 1101,Humboldt,6/2/2025 1:21:05 AM
EAST GRAND,12kV,Yes,0,157,65,0,,1957,1957,3914,253,022571103,EAST GRAND 1103,Peninsula,6/30/2025 7:19:56 PM
JARVIS,12kV,No,4239,196,39,1,14,4020,170,4190,254,013501108,JARVIS 1108,Mission,6/2/2025 1:21:05 AM
OLIVEHURST,12kV,No,2750,147,38,116,7,7740,350,8090,255,152901103,OLIVEHURST 1103,Sacramento,6/2/2025 1:21:05 AM
DESCHUTES,12kV,No,1108,70,10,26,1,3330,170,3500,256,103351101,DESCHUTES 1101,North Valley,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,438,83,68,0,0,0,0,0,257,022801122,LARKIN (Y) 1122,San Francisco,6/2/2025 1:21:05 AM
PINEDALE,21kV,No,2299,199,178,1,8,11330,180,11510,258,252852101,PINEDALE 2101,Fresno,6/2/2025 1:21:05 AM
EL DORADO PH,21kV,No,1494,133,17,1,1,610,210,820,259,152762102,EL DORADO PH 2102,Sierra,6/2/2025 1:21:05 AM
EUREKA E,12kV,No,3466,260,47,0,15,1670,230,1900,260,192331104,EUREKA E 1104,Humboldt,6/2/2025 1:21:05 AM
TRACY,12kV,No,592,283,79,0,14,710,540,1250,261,162881104,TRACY 1104,Stockton,6/2/2025 1:21:05 AM
CHICO A,12kV,No,1543,315,106,0,13,1300,130,1430,262,102051102,CHICO A 1102,North Valley,6/2/2025 1:21:05 AM
EMBARCADERO (Z),34.5kV,No,0,2,19,0,0,100,0,100,263,022873404,EMBARCADERO (Z) 3404,San Francisco,6/2/2025 1:21:05 AM
ASHLAN AVE,12kV,No,1158,164,49,3,5,2380,220,2600,264,252051111,ASHLAN AVE 1111,Fresno,6/2/2025 1:21:05 AM
VALLEJO B,4.16kV,No,1032,120,7,0,10,460,110,570,265,042450413,VALLEJO B 0413,North Bay,6/2/2025 1:21:05 AM
SF E,4.16kV,No,1183,107,22,0,2,30,10,40,266,022070407,SF E 0407,San Francisco,6/2/2025 1:21:05 AM
WEBER,12kV,Yes,1589,97,46,6,12,2110,150,2260,267,163481114,WEBER 1114,Stockton,6/2/2025 1:21:05 AM
PLUMAS,12kV,No,773,24,5,6,0,2480,180,2660,268,153731102,PLUMAS 1102,Sacramento,6/2/2025 1:21:05 AM
FIGARDEN,21kV,No,2259,194,50,1,5,7610,320,7930,269,254552103,FIGARDEN 2103,Fresno,6/2/2025 1:21:05 AM
MIDWAY,12kV,Yes,26,27,36,77,7,3880,100,3980,270,252611103,MIDWAY 1103,Kern,6/2/2025 1:21:05 AM
GUALALA,12kV,No,1047,226,25,4,2,790,120,910,271,042841112,GUALALA 1112,Humboldt,6/2/2025 1:21:05 AM
OCEANO,12kV,No,2321,253,46,91,7,5710,300,6010,272,182601102,OCEANO 1102,Los Padres,6/2/2025 1:21:05 AM
MORAGA,12kV,No,2266,157,30,0,18,5240,360,5600,273,013801101,MORAGA 1101,Diablo,6/2/2025 1:21:05 AM
POTRERO PP (A),12kV,No,1005,108,91,1,13,490,210,700,274,022031112,POTRERO PP (A) 1112,San Francisco,6/2/2025 1:21:05 AM
MENLO,12kV,No,1632,101,58,0,3,1380,270,1650,275,024131101,MENLO 1101,Peninsula,6/2/2025 1:21:05 AM
JANES CREEK,12kV,Yes,2134,141,29,11,4,1630,190,1820,276,192391101,JANES CREEK 1101,Humboldt,6/2/2025 1:21:05 AM
HIGGINS,12kV,No,3025,65,5,3,0,4980,12760,17740,277,152691104,HIGGINS 1104,Sierra,6/2/2025 1:21:05 AM
NARROWS,21kV,Yes,486,53,3,8,0,1440,130,1570,278,153132101,NARROWS 2101,Sierra,6/2/2025 1:21:05 AM
STOCKDALE,21kV,No,3883,118,90,1,22,15540,780,16320,279,254072109,STOCKDALE 2109,Kern,6/2/2025 1:21:05 AM
EL NIDO,12kV,No,127,29,6,193,0,5280,5790,11070,280,252451103,EL NIDO 1103,Yosemite,6/2/2025 1:21:05 AM
WALL,4.16kV,No,1741,74,11,0,4,870,60,930,281,013740401,WALL 0401,East Bay,6/2/2025 1:21:05 AM
WEBER,12kV,Yes,3,12,27,0,0,3480,700,4180,282,163481103,WEBER 1103,Stockton,6/2/2025 1:21:05 AM
NORIEGA,4.16kV,No,831,31,4,0,8,150,0,150,283,022510402,NORIEGA 0402,San Francisco,6/2/2025 1:21:05 AM
BAIR,12kV,Yes,0,45,32,0,0,20,0,20,284,024261103,BAIR 1103,Peninsula,10/1/2025 11:34:21 AM
ALTO,12kV,No,4294,303,107,0,20,5700,410,6110,285,042031120,ALTO 1120,North Bay,10/1/2025 11:34:21 AM
EVERGREEN,21kV,No,3573,233,162,1,18,4540,920,5460,286,082012101,EVERGREEN 2101,San Jose,6/2/2025 1:21:05 AM
HAAS,21kV,Yes,6,7,0,0,58,0,0,0,287,259932101,HAAS 2101,Fresno,6/2/2025 1:21:05 AM
WHISMAN,12kV,Yes,0,7,15,0,2,2720,2420,5140,288,083631101,WHISMAN 1101,De Anza,6/2/2025 1:21:05 AM
LAMMERS,12kV,Yes,22,17,31,6,5,6260,160,6420,289,162771101,LAMMERS 1101,Stockton,6/2/2025 1:21:05 AM
NAPA,12kV,No,2932,339,87,3,13,2340,330,2670,290,042021110,NAPA 1110,North Bay,6/2/2025 1:21:05 AM
GUSTINE,12kV,No,1536,328,49,371,3,4970,15110,20080,291,163111102,GUSTINE 1102,Yosemite,6/2/2025 1:21:05 AM
CARQUINEZ,12kV,No,2976,437,113,0,30,1990,300,2290,292,043281103,CARQUINEZ 1103,North Bay,6/2/2025 1:21:05 AM
RIVERBANK,17kV,No,1339,70,15,77,6,3370,960,4330,293,163191711,RIVERBANK 1711,Yosemite,6/2/2025 1:21:05 AM
MARICOPA,12kV,Yes,498,46,25,0,5,2900,1020,3920,294,254211102,MARICOPA 1102,Kern,6/2/2025 1:21:05 AM
REDWOOD CITY,4.16kV,No,426,80,31,0,6,100,0,100,295,024160402,REDWOOD CITY 0402,Peninsula,6/2/2025 1:21:05 AM
MILPITAS,21kV,Yes,3093,99,41,0,12,930,30,960,296,082832112,MILPITAS 2112,San Jose,6/2/2025 1:21:05 AM
SPRING GAP,17kV,No,1347,110,21,0,18,170,0,170,297,162831702,SPRING GAP 1702,Yosemite,6/2/2025 1:21:05 AM
CASTRO,4.16kV,No,1038,21,0,0,3,550,40,590,298,022480402,CASTRO 0402,San Francisco,6/2/2025 1:21:05 AM
CLAYTON,21kV,No,4264,192,50,3,13,13200,1080,14280,299,012022215,CLAYTON 2215,Diablo,6/2/2025 1:21:05 AM
BERKELEY F,12kV,No,2863,380,178,0,20,820,140,960,300,012061103,BERKELEY F 1103,East Bay,6/2/2025 1:21:05 AM
ALTO,12kV,No,3649,381,60,0,7,4310,310,4620,301,042031124,ALTO 1124,Sonoma,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,174,167,81,0,2,0,0,0,302,022801125,LARKIN (Y) 1125,San Francisco,6/2/2025 1:21:05 AM
MALAGA,12kV,No,2618,112,28,17,8,8280,1740,10020,303,254251104,MALAGA 1104,Fresno,6/2/2025 1:21:05 AM
ALPINE,12kV,Yes,276,6,0,0,0,40,10,50,304,163561101,ALPINE 1101,Stockton,6/2/2025 1:21:05 AM
BRUNSWICK,12kV,No,3369,218,58,5,3,4810,420,5230,305,152481105,BRUNSWICK 1105,Sierra,6/2/2025 1:21:05 AM
TEJON,12kV,Yes,24,9,0,61,4,0,240,240,306,252931105,TEJON 1105,Kern,6/2/2025 1:21:05 AM
JAMESON,12kV,No,2128,84,56,19,5,6340,310,6650,307,063801102,JAMESON 1102,North Bay,6/2/2025 1:21:05 AM
GRANT,12kV,No,5571,394,95,1,18,2580,670,3250,308,014381108,GRANT 1108,Mission,6/2/2025 1:21:05 AM
STONE,12kV,Yes,0,9,87,0,0,340,0,340,309,083701105,STONE 1105,San Jose,6/2/2025 1:21:05 AM
EVERGREEN,21kV,No,5815,393,132,0,17,6990,560,7550,310,082012103,EVERGREEN 2103,San Jose,6/2/2025 1:21:05 AM
SONOMA,12kV,No,1613,360,139,115,13,5320,2100,7420,311,042721105,SONOMA 1105,Sonoma,6/2/2025 1:21:05 AM
LAS POSITAS,21kV,No,2847,166,25,11,10,10330,2670,13000,312,014402108,LAS POSITAS 2108,Mission,6/2/2025 1:21:05 AM
STOCKDALE,21kV,No,2908,154,77,0,9,10270,400,10670,313,254072114,STOCKDALE 2114,Kern,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,0,104,88,0,6,0,0,0,314,022801123,LARKIN (Y) 1123,San Francisco,6/2/2025 1:21:05 AM
BRENTWOOD,21kV,No,3278,186,117,1,5,8900,460,9360,315,014592104,BRENTWOOD 2104,Diablo,6/2/2025 1:21:05 AM
BAKERSFIELD,12kV,Yes,1106,278,80,0,7,980,40,1020,316,253371110,BAKERSFIELD 1110,Kern,6/2/2025 1:21:05 AM
COTTONWOOD,12kV,No,2625,182,29,42,1,6430,430,6860,317,102931103,COTTONWOOD 1103,North Valley,6/2/2025 1:21:05 AM
ROSSMOOR,12kV,No,3035,43,16,0,0,2200,720,2920,318,014161102,ROSSMOOR 1102,Diablo,6/2/2025 1:21:05 AM
EL CAPITAN,12kV,Yes,510,79,17,110,3,7170,4840,12010,319,253881103,EL CAPITAN 1103,Yosemite,6/2/2025 1:21:05 AM
SAN RAMON,21kV,No,4868,235,73,1,25,9060,910,9970,320,014232107,SAN RAMON 2107,Mission,6/2/2025 1:21:05 AM
MIDWAY,12kV,Yes,457,128,26,93,11,1730,360,2090,321,252611104,MIDWAY 1104,Kern,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,Yes,0,3,12,0,0,0,0,0,322,022801115,LARKIN (Y) 1115,San Francisco,6/2/2025 1:21:05 AM
CABRILLO,12kV,Yes,1220,90,26,134,2,2580,120,2700,323,183101104,CABRILLO 1104,Los Padres,6/2/2025 1:21:05 AM
RIVER OAKS,21kV,Yes,467,5,20,0,1,0,0,0,324,082342107,RIVER OAKS 2107,San Jose,6/2/2025 1:21:05 AM
PARLIER,12kV,Yes,53,9,3,78,0,340,230,570,325,252291105,PARLIER 1105,Fresno,6/2/2025 1:21:05 AM
RIPON,17kV,No,3360,167,118,14,20,11540,1430,12970,326,163801704,RIPON 1704,Stockton,6/2/2025 1:21:05 AM
HOLLISTER,21kV,No,380,153,37,162,11,2640,20,2660,327,182492102,HOLLISTER 2102,Central Coast,6/2/2025 1:21:05 AM
SAN JOSE B,12kV,Yes,562,71,15,1,0,1280,10,1290,328,082261116,SAN JOSE B 1116,San Jose,6/2/2025 1:21:05 AM
GATES,12kV,Yes,0,2,5,67,26,2720,8250,10970,329,253931105,GATES 1105,Fresno,6/2/2025 1:21:05 AM
WHITMORE,12kV,No,489,45,2,8,,727,749,1476,330,103601101,WHITMORE 1101,North Valley,10/1/2025 11:34:23 AM
SAN JOSE A,12kV,No,318,49,8,0,3,30,0,30,331,082251111,SAN JOSE A 1111,San Jose,6/2/2025 1:21:05 AM
ARCATA,12kV,No,1418,147,32,18,2,2050,90,2140,332,192021106,ARCATA 1106,Humboldt,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,No,2136,182,95,0,5,0,0,0,333,022801105,LARKIN (Y) 1105,San Francisco,6/2/2025 1:21:05 AM
RESERVATION ROAD,12kV,No,1810,147,30,119,9,2740,6390,9130,334,182731102,RESERVATION ROAD 1102,Central Coast,6/2/2025 1:21:05 AM
LAWRENCE,12kV,Yes,100,3,9,0,2,0,0,0,335,083421107,LAWRENCE 1107,De Anza,6/2/2025 1:21:05 AM
WILDWOOD,12kV,Yes,105,30,2,2,0,800,0,800,336,103611101,WILDWOOD 1101,North Valley,6/2/2025 1:21:05 AM
MT EDEN,12kV,No,5281,148,23,0,15,3710,340,4050,337,013761109,MT EDEN 1109,Mission,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,789,120,59,0,7,40,80,120,338,022011127,MISSION (X) 1127,San Francisco,6/2/2025 1:21:05 AM
WOODLAND,12kV,Yes,1028,65,90,3,18,4990,990,5980,339,062031101,WOODLAND 1101,Sacramento,6/2/2025 1:21:05 AM
CONTRA COSTA,21kV,No,4222,320,126,2,22,8820,830,9650,340,013652107,CONTRA COSTA 2107,Diablo,6/2/2025 1:21:05 AM
RICHMOND R,12kV,Yes,1565,120,45,0,19,1630,160,1790,341,013471119,RICHMOND R 1119,East Bay,6/2/2025 1:21:05 AM
WEST SACRAMENTO,12kV,No,532,425,152,0,7,1750,5070,6820,342,063131105,WEST SACRAMENTO 1105,Sacramento,6/2/2025 1:21:05 AM
MORRO BAY,12kV,No,4118,732,118,62,10,3020,1020,4040,343,183011101,MORRO BAY 1101,Los Padres,6/2/2025 1:21:05 AM
PACIFIC GROVE,4.16kV,No,1599,56,13,0,4,830,60,890,344,182440424,PACIFIC GROVE 0424,Central Coast,6/2/2025 1:21:05 AM
MISSION (X),12kV,Yes,178,6,8,0,1,0,0,0,345,022011105,MISSION (X) 1105,San Francisco,6/2/2025 1:21:05 AM
COUNTRY CLUB,12kV,Yes,950,78,46,0,2,1000,90,1090,346,163121102,COUNTRY CLUB 1102,Stockton,6/2/2025 1:21:05 AM
MC KEE,12kV,No,5686,100,21,1,11,3920,190,4110,347,083531110,MC KEE 1110,San Jose,6/2/2025 1:21:05 AM
SF J,4.16kV,Yes,298,4,7,0,2,40,0,40,348,022220409,SF J 0409,San Francisco,6/2/2025 1:21:05 AM
RADUM,12kV,No,1409,47,6,0,3,2080,80,2160,349,013151101,RADUM 1101,Mission,6/2/2025 1:21:05 AM
EMBARCADERO (Z),34.5kV,No,0,1,25,0,0,0,0,0,350,022873405,EMBARCADERO (Z) 3405,San Francisco,6/2/2025 1:21:05 AM
DIXON,12kV,Yes,1883,183,81,46,14,6510,1280,7790,351,062061105,DIXON 1105,North Bay,6/2/2025 1:21:05 AM
SANTA ROSA A,12kV,No,4309,169,17,1,18,6260,610,6870,352,042151110,SANTA ROSA A 1110,Sonoma,6/2/2025 1:21:05 AM
TRACY,12kV,No,2209,77,31,6,2,4810,120,4930,353,162881109,TRACY 1109,Stockton,6/2/2025 1:21:05 AM
VACA DIXON,12kV,No,2226,148,62,5,5,6080,480,6560,354,063591106,VACA DIXON 1106,North Bay,6/2/2025 1:21:05 AM
OCEANO,12kV,No,4981,642,92,45,10,2880,610,3490,355,182601106,OCEANO 1106,Los Padres,6/2/2025 1:21:05 AM
VALLEY VIEW,12kV,No,2377,171,47,0,12,3230,210,3440,356,014341105,VALLEY VIEW 1105,East Bay,6/2/2025 1:21:05 AM
MANTECA,17kV,Yes,952,240,196,0,18,4720,3290,8010,357,162611707,MANTECA 1707,Stockton,6/2/2025 1:21:05 AM
LIVINGSTON,12kV,No,601,72,13,260,3,2700,3290,5990,358,252261105,LIVINGSTON 1105,Yosemite,6/2/2025 1:21:05 AM
EAST STOCKTON,12kV,Yes,714,229,110,1,19,1070,4320,5390,359,163131101,EAST STOCKTON 1101,Stockton,6/2/2025 1:21:05 AM
BULLARD,12kV,No,1837,71,48,0,3,350,160,510,360,253961105,BULLARD 1105,Fresno,6/2/2025 1:21:05 AM
MOUNTAIN VIEW,12kV,No,5227,170,107,1,15,1050,540,1590,361,082031104,MOUNTAIN VIEW 1104,De Anza,6/2/2025 1:21:05 AM
BAKERSFIELD,12kV,No,2565,132,62,0,10,3940,500,4440,362,253371116,BAKERSFIELD 1116,Kern,6/2/2025 1:21:05 AM
NORTECH,21kV,Yes,2,9,30,0,1,210,2630,2840,363,082462111,NORTECH 2111,San Jose,6/2/2025 1:21:05 AM
MILLBRAE,12kV,No,583,237,106,0,2,750,160,910,364,022691101,MILLBRAE 1101,Peninsula,6/2/2025 1:21:05 AM
SAN JOSE A,12kV,No,5088,315,107,0,21,2030,420,2450,365,082251112,SAN JOSE A 1112,San Jose,6/2/2025 1:21:05 AM
SUISUN,12kV,Yes,886,120,19,0,,614,614,1228,366,062131110,SUISUN 1110,Sacramento,6/30/2025 7:19:56 PM
SANTA ROSA A,12kV,No,3129,301,91,0,23,2520,180,2700,367,042151107,SANTA ROSA A 1107,Sonoma,6/2/2025 1:21:05 AM
MOUNTAIN VIEW,12kV,Yes,1508,29,58,0,4,730,60,790,368,082031111,MOUNTAIN VIEW 1111,De Anza,6/2/2025 1:21:05 AM
LARKIN (Y),12kV,Yes,900,88,53,0,1,40,0,40,369,022801104,LARKIN (Y) 1104,San Francisco,6/2/2025 1:21:05 AM
PAUL SWEET,21kV,Yes,2568,128,79,4,12,11910,1860,13770,370,083252102,PAUL SWEET 2102,Central Coast,6/2/2025 1:21:05 AM
FMC,12kV,Yes,438,50,47,0,6,1090,750,1840,371,083871109,FMC 1109,San Jose,6/2/2025 1:21:05 AM
MORMON,12kV,Yes,1273,100,25,226,20,7210,4600,11810,372,163211102,MORMON 1102,Stockton,6/2/2025 1:21:05 AM
FREMONT,12kV,No,3949,247,127,0,10,1690,1240,2930,373,014351108,FREMONT 1108,Mission,6/2/2025 1:21:05 AM
BELMONT,12kV,No,3532,333,87,0,18,4570,310,4880,374,024031103,BELMONT 1103,Peninsula,6/2/2025 1:21:05 AM
PANOCHE,12kV,Yes,4,12,1,40,25,0,230,230,375,253671101,PANOCHE 1101,Yosemite,6/2/2025 1:21:05 AM
SANTA MARIA,12kV,No,2005,248,87,84,3,2430,1550,3980,376,182671110,SANTA MARIA 1110,Los Padres,6/2/2025 1:21:05 AM
KERN OIL,12kV,Yes,1483,114,68,0,2,8930,220,9150,377,252721108,KERN OIL 1108,Kern,6/2/2025 1:21:05 AM
MARYSVILLE,12kV,Yes,1079,77,26,4,6,1730,2530,4260,378,152011103,MARYSVILLE 1103,Sacramento,6/2/2025 1:21:05 AM
LERDO,12kV,Yes,19,26,4,101,1,2440,2650,5090,379,253491116,LERDO 1116,Kern,6/2/2025 1:21:05 AM
SMYRNA,12kV,Yes,83,27,6,112,3,5650,2860,8510,380,253551106,SMYRNA 1106,Kern,6/2/2025 1:21:05 AM
POINT PINOLE,12kV,No,3763,191,110,0,15,3730,1460,5190,381,014261102,POINT PINOLE 1102,East Bay,6/2/2025 1:21:05 AM
MOLINO,12kV,No,3353,665,173,43,33,6710,1410,8120,382,042571104,MOLINO 1104,Sonoma,6/2/2025 1:21:05 AM
MILLBRAE,12kV,Yes,2485,148,57,0,22,4820,500,5320,383,022691108,MILLBRAE 1108,Peninsula,6/2/2025 1:21:05 AM
